76011002,76011002
"",76015010,,,"Marituba, Santa Bárbara do Pará, Benevides  [Municipality: Brazil]",
76015011,Castanhal  [Municipality: Brazil],,,,
"",76015012,,,"São Félix do Xingu, Ourilândia do Norte, Cumaru do Norte, Tucumã, Bannach  [Municipality: Brazil]",
76015013,"Jacareacanga, Itaituba, Trairão, Novo Progresso  [Municipality: Brazil]",,,,
"",76015014,,,Abaetetuba  [Municipality: Brazil],
76014001,76014001
76015002,76015002
76015004,76015004
76015006,76015006
76015015,"Tracuateua, Bragança  [Municipality: Brazil]",,,,
"",76015016,,,"Tailândia, Acará  [Municipality: Brazil]",
76015017,Cametá  [Municipality: Brazil],,,,
"",76015018,,,Barcarena  [Municipality: Brazil],
76015019,"Nova Esperança do Piriá, Viseu, Cachoeira do Piriá  [Municipality: Brazil]",,,,
"",76015020,,,Breves  [Municipality: Brazil],
76015021,"São João do Araguaia, Bom Jesus do Tocantins, São Domingos do Araguaia, Brejo Grande do Araguaia, AbelFigueiredo, Palestina do Pará  [Municipality: Brazil]",,,,
"",76015022,,,"Santana do Araguaia, Santa Maria das Barreiras  [Municipality: Brazil]",
76015023,"Alenquer, Curuá  [Municipality: Brazil]",,,,
"",76015024,,,"Itupiranga, Nova Ipixuna  [Municipality: Brazil]",
76015025,"Bujaru, Inhangapi, Concórdia do Pará  [Municipality: Brazil]",,,,
"",76015026,,,Capanema  [Municipality: Brazil],
76015027,Oriximiná  [Municipality: Brazil],,,,
"",76015028,,,"Ourém, Garrafão do Norte, Santa Luzia do Pará  [Municipality: Brazil]",
76015029,Santa Isabel do Pará  [Municipality: Brazil],,,,
"",76015030,,,"Irituia, Mãe do Rio  [Municipality: Brazil]",
76015031,"Salinópolis, São João de Pirabas  [Municipality: Brazil]",,,,
"",76015032,,,Igarapé-Miri  [Municipality: Brazil],
76015033,Monte Alegre  [Municipality: Brazil],,,,
"",76015034,,,Tomé-Açu  [Municipality: Brazil],
76015035,"Afuá, Chaves  [Municipality: Brazil]",,,,
"",76015036,,,"Aveiro, Rurópolis  [Municipality: Brazil]",
76015037,São Miguel do Guamá  [Municipality: Brazil],,,,
"",76015038,,,Capitão Poço  [Municipality: Brazil],
76015039,"São Francisco do Pará, Marapanim, Magalhães Barata  [Municipality: Brazil]",,,,
"",76015040,,,Óbidos  [Municipality: Brazil],
76015041,Vigia  [Municipality: Brazil],,,,
"",76015042,,,Juruti  [Municipality: Brazil],
76015043,"Curuçá, Terra Alta  [Municipality: Brazil]",,,,
"",76015044,,,Augusto Corrêa  [Municipality: Brazil],
76015045,"Santo Antônio do Tauá, Colares  [Municipality: Brazil]",,,,
"",76015046,,,Baião  [Municipality: Brazil],
76015047,Igarapé-Açu  [Municipality: Brazil],,,,
"",76015048,,,Almeirim  [Municipality: Brazil],
76015049,Muaná  [Municipality: Brazil],,,,
"",76015050,,,Porto de Moz  [Municipality: Brazil],
76015051,Gurupá  [Municipality: Brazil],,,,
"",76015052,,,"Santa Cruz do Arari, Cachoeira do Arari  [Municipality: Brazil]",
76015053,Maracanã  [Municipality: Brazil],,,,
"",76015054,,,Curralinho  [Municipality: Brazil],
76015055,Mocajuba  [Municipality: Brazil],,,,
"",76015056,,,Ponta de Pedras  [Municipality: Brazil],
76015057,Oeiras do Pará  [Municipality: Brazil],,,,
"",76015058,,,Anajás  [Municipality: Brazil],
76015059,Melgaço  [Municipality: Brazil],,,,
"",76015060,,,Bagre  [Municipality: Brazil],
76015061,"Faro, Terra Santa  [Municipality: Brazil]",,,,
"",76015062,,,Limoeiro do Ajuru  [Municipality: Brazil],
76015063,São Sebastião da Boa Vista  [Municipality: Brazil],,,,
"",76015064,,,Santa Maria do Pará  [Municipality: Brazil],
76015065,"Primavera, Quatipuru  [Municipality: Brazil]",,,,
"",76015066,,,Soure  [Municipality: Brazil],
76015067,"São Caetano de Odivelas, São João da Ponta  [Municipality: Brazil]",,,,
"",76015068,,,"Bonito, Peixe-Boi  [Municipality: Brazil]",
76015069,Salvaterra  [Municipality: Brazil],,,,
"",76015070,,,"Nova Timboteua, Santarém Novo  [Municipality: Brazil]",
76016001,"Pedra Branca do Amapari, Serra do Navio, Porto Grande, Santana, Macapá, Cutias, Itaubal  [Municipality:Brazil]",,,,
"",76016002,,,"Laranjal do Jari, Mazagão, Vitória do Jari  [Municipality: Brazil]",
